pseudo_id,labels,n_frames,n_labels
mHbX,"[6, 8]",187,2
F2bX,[4],179,1
i2bX,"[0, 1, 35]",300,3
08bX,"[66, 390, 701, 748]",300,4
M4bX,"[11, 20, 22, 29, 564]",148,5
1SbX,"[64, 113, 119, 465, 2047]",300,5
pxbX,[2250],300,1
0hbX,"[0, 12]",219,2
OybX,[11],188,1
EUbX,"[21, 23, 24, 115, 520, 651, 1705]",300,7
ThbX,"[49, 127]",301,2
pBbX,[14],194,1
OebX,"[0, 1, 69, 1710]",193,4
DJbX,"[0, 1]",180,2
PkbX,"[3, 6]",249,2
vLbX,"[2, 30]",174,2
arbX,"[17, 19, 394]",260,3
97bX,"[2, 218]",243,2
CVbX,"[0, 52, 125]",230,3
b2bX,[14],192,1
UpbX,"[1, 63, 167]",300,3
habX,"[3, 6]",300,2
7YbX,[14],137,1
vIbX,"[15, 18, 67, 140, 1122]",300,5
LMbX,[3],226,1
zsbX,[1251],162,1
rsbX,"[2, 45, 295]",184,3
HvbX,[3],185,1
fpbX,[8],127,1
BkbX,[8],244,1
esbX,[3],122,1
uobX,"[0, 1, 35, 134, 436, 2226]",268,6
xQbX,"[1, 19, 48, 524, 753, 988]",177,6
4dbX,[8],226,1
82bX,"[0, 215, 412]",300,3
EjbX,"[5, 395]",173,2
ukbX,[62],300,1
QcbX,"[0, 1, 42, 487, 890]",300,5
tBbX,"[60, 519, 666]",300,3
JxbX,"[2, 7, 198, 563, 1252]",127,5
l1bX,[3],268,1
TebX,"[15, 18, 67, 239, 2785]",212,5
kxbX,"[0, 1]",300,2
xBbX,"[5, 16]",300,2
tnbX,"[3, 6]",300,2
ZCbX,"[0, 12]",119,2
FabX,[79],221,1
DpbX,[8],221,1
KJbX,[551],300,1
b4bX,"[11, 29, 32, 368, 813, 2206, 3608]",290,7
LObX,"[1, 16]",300,2
1RbX,"[2, 2077]",281,2
YKbX,"[21, 23, 310]",300,3
DNbX,"[5, 15, 18, 49, 80, 87, 265]",300,7
UhbX,"[0, 1, 5]",173,3
fubX,"[0, 79, 91]",300,3
bJbX,"[3, 4, 13, 54]",151,4
7nbX,[3],300,1
81bX,[183],300,1
ZabX,"[242, 254, 459, 470, 764]",300,5
XubX,"[4, 9, 10, 37]",218,4
hSbX,"[2, 26, 45, 51, 77, 298, 442, 2175]",139,8
yrbX,"[0, 1, 5, 683]",300,4
jpbX,"[6, 8]",271,2
1PbX,[8],300,1
wLbX,"[342, 511]",242,2
YrbX,[707],300,1
ZNbX,"[11, 20, 229, 1882]",300,4
Q0bX,"[0, 1, 36, 142, 185]",300,5
JJbX,"[3, 6]",214,2
7CbX,[3],300,1
4ibX,"[333, 990]",299,2
qPbX,"[3, 4]",300,2
ArbX,"[9, 14, 28]",274,3
BxbX,"[2, 30]",300,2
V6bX,[201],159,1
ttbX,"[21, 23, 24, 115, 1160]",300,5
THbX,"[88, 364]",198,2
vqbX,[3],215,1
E9bX,"[6, 8]",138,2
N8bX,"[0, 1, 35, 230]",268,4
ZFbX,"[0, 1, 27]",300,3
fWbX,[88],214,1
v5bX,"[15, 18, 59, 178]",300,4
UibX,"[1, 25, 623, 1278]",144,4
WFbX,"[31, 40, 47, 57]",265,4
4ObX,"[133, 325]",150,2
egbX,"[5, 16, 84]",254,3
vfbX,"[9, 10, 34, 550]",180,4
IqbX,"[0, 1, 5, 928]",159,4
qlbX,"[2, 17, 83, 620, 778]",211,5
VUbX,[106],192,1
7ebX,"[2, 7, 399]",153,3
TgbX,"[2, 64, 76, 1043]",247,4
8tbX,"[3, 4, 6, 10, 13]",300,5
JIbX,"[2, 45, 51, 56, 77, 137, 456]",223,7
wabX,[1388],238,1
MvbX,"[0, 1]",237,2
1dbX,[0],244,1
QNbX,"[3, 6]",194,2
XMbX,"[4, 9, 28, 33, 38]",195,5
q6bX,"[39, 121, 986, 1846]",276,4
eabX,[62],211,1
0bbX,"[0, 1, 42]",253,3
rmbX,[228],300,1
WVbX,[3],300,1
ZQbX,"[199, 259]",296,2
HMbX,"[11, 20, 22, 29, 32, 122, 173, 221, 892, 2172]",206,10
sKbX,"[0, 1]",257,2
9xbX,"[6, 8, 1579]",193,3
LKbX,"[401, 732, 1067, 1421, 2294]",187,5
6HbX,"[100, 1223]",201,2
mPbX,"[2, 7, 104, 563]",300,4
jebX,[3],221,1
jxbX,[8],232,1
AxbX,"[0, 12]",241,2
QGbX,"[6, 8]",300,2
xZbX,[92],132,1
74bX,"[2, 7, 174, 1307, 2835]",300,5
LHbX,"[2, 7, 48, 224, 267, 415, 566]",300,7
jcbX,[14],160,1
vHbX,"[2, 7, 165, 172, 399, 923, 2233]",275,7
N0bX,[8],300,1
BjbX,"[15, 18, 43, 59, 238, 668]",260,6
J3bX,"[0, 79, 237]",147,3
llbX,"[3, 433]",179,2
EIbX,[3],300,1
1cbX,[205],300,1
vsbX,"[0, 1, 157, 481]",139,4
h4bX,"[62, 1015]",276,2
NMbX,[522],150,1
VdbX,"[3, 4, 6, 10]",200,4
KtbX,[3],275,1
sgbX,"[0, 1, 234, 309]",222,4
WzbX,"[2, 45, 56, 218]",300,4
3hbX,"[0, 1, 484, 1403]",296,4
yYbX,"[4, 9, 10, 34]",229,4
nAbX,"[205, 598]",230,2
vJbX,"[0, 1, 193, 649]",123,4
A7bX,"[3, 4]",213,2
M8bX,"[15, 18, 87, 545]",172,4
W9bX,"[406, 1136]",300,2
ZlbX,"[215, 611]",211,2
PAbX,[3],300,1
VGbX,"[53, 58, 60]",154,3
DWbX,"[1, 189, 3830]",241,3
OSbX,"[3, 4, 6]",153,3
c4bX,"[0, 12]",300,2
4UbX,"[15, 555, 1225, 2501, 3704]",152,5
rGbX,"[11, 20, 22, 29, 32]",120,5
HAbX,[8],174,1
W4bX,[14],171,1
RcbX,"[0, 12]",190,2
HhbX,"[200, 1375]",300,2
ZAbX,[14],197,1
UybX,[8],138,1
2QbX,"[11, 1254]",177,2
6MbX,"[2, 44, 46, 162, 848]",262,5
5UbX,[284],300,1
F5bX,"[3, 4, 6, 9]",300,4
iXbX,[8],300,1
9XbX,[14],233,1
RxbX,[3],174,1
CcbX,"[0, 1, 35, 85, 1035]",260,5
IObX,[89],129,1
lybX,[5],231,1
AWbX,"[2, 44, 46, 109, 114, 145, 155]",300,7
PsbX,"[0, 811, 1317]",171,3
xgbX,[2783],256,1
gObX,[62],130,1
8wbX,"[11, 251, 641]",120,3
4rbX,[3],300,1
CybX,"[31, 47, 565]",300,3
Z5bX,"[0, 1, 13, 512, 1446]",284,5
8abX,"[2, 7]",137,2
qnbX,"[21, 23, 24]",300,3
LBbX,"[5, 16]",121,2
ivbX,"[15, 509]",300,2
RUbX,"[11, 83, 720, 751]",300,4
GvbX,"[41, 552]",190,2
8YbX,"[4, 9, 10, 34]",199,4
EtbX,[14],265,1
2JbX,"[0, 1, 63, 450, 1924]",300,5
wdbX,"[3, 4, 13, 41]",161,4
vvbX,[5],197,1
XzbX,"[9, 10, 37]",195,3
ydbX,"[3, 6]",269,2
CjbX,"[0, 1, 234, 628]",289,4
tsbX,[2700],135,1
uBbX,"[189, 645]",124,2
nNbX,"[0, 1, 134, 180, 795]",133,5
DYbX,"[2, 7, 1386, 2262, 2552]",183,5
0vbX,"[0, 12]",296,2
vQbX,"[3, 4, 6, 9, 10, 34]",282,6
yRbX,"[3, 4, 10, 13, 54, 97]",300,6
RHbX,"[146, 158, 279]",124,3
yUbX,"[2, 64, 76, 1043]",257,4
oybX,"[21, 23, 24, 115, 1160]",300,5
ZibX,"[1854, 3265]",285,2
yibX,"[64, 465]",136,2
7sbX,"[0, 760]",300,2
pXbX,"[3, 4]",205,2
7PbX,[133],270,1
PCbX,"[3, 4, 6]",259,3
LRbX,[246],147,1
0mbX,"[2, 30]",119,2
EFbX,"[0, 12]",208,2
52bX,"[0, 1, 153, 562]",190,4
NAbX,[3],138,1
j4bX,"[17, 19, 129, 448, 792]",131,5
WMbX,"[0, 1, 69, 236, 404, 1490]",147,6
FHbX,[291],300,1
MpbX,"[0, 1, 69, 478, 1111]",300,5
fYbX,"[168, 188, 594]",137,3
ZzbX,[8],192,1
AwbX,"[229, 505, 1107, 1189, 1675]",166,5
oYbX,[3],263,1
nxbX,"[1493, 2676]",300,2
kLbX,"[3, 4, 6, 13]",215,4
t0bX,"[0, 1, 193, 2999]",216,4
jtbX,"[6, 8]",300,2
DgbX,"[2, 17, 778]",128,3
hjbX,[52],183,1
a6bX,[14],223,1
UYbX,"[0, 1]",205,2
JCbX,[14],219,1
1sbX,"[50, 850, 998, 1042]",300,4
nGbX,"[5, 301]",183,2
Z9bX,"[39, 674]",172,2
TPbX,[734],163,1
dPbX,"[31, 40, 47, 57, 117, 386]",245,6
i5bX,"[24, 209, 736]",256,3
dobX,"[1, 5, 25, 337, 868, 3641]",195,6
qQbX,"[6, 159]",284,2
jubX,"[0, 42, 306]",300,3
4lbX,"[0, 1, 5, 534, 872, 3121]",284,6
a1bX,"[3, 4, 9, 10, 13]",173,5
pwbX,[1715],300,1
bPbX,"[2, 7, 361, 2306]",132,4
MqbX,"[2, 7, 83]",159,3
7ibX,"[17, 19, 128]",187,3
19bX,"[0, 1, 27, 580]",300,4
Y5bX,"[0, 93, 102, 449]",191,4
bHbX,"[6, 41]",300,2
7AbX,"[0, 607, 622, 1258]",300,4
n2bX,"[24, 158, 279]",171,3
C6bX,"[11, 20, 1011, 1049]",281,4
AqbX,"[15, 18, 59, 178]",300,4
ELbX,"[48, 106, 629]",123,3
bqbX,"[0, 1, 561, 959]",300,4
gRbX,"[2, 30, 55]",300,3
CCbX,"[2, 44, 46, 64, 113, 119, 162]",290,7
BCbX,"[5, 16, 1690]",226,3
HLbX,[6],233,1
MebX,[8],285,1
6NbX,"[0, 1, 714]",261,3
e5bX,"[0, 1, 5, 183, 3260]",300,5
tvbX,"[11, 1037, 1237]",209,3
5YbX,"[0, 111]",145,2
nKbX,"[134, 230]",277,2
ulbX,[579],234,1
17bX,[8],193,1
EbbX,"[60, 519, 794, 995]",196,4
RZbX,[39],300,1
9ibX,"[11, 20, 22, 29, 32, 122]",300,6
Y2bX,"[2, 30]",165,2
0PbX,[8],160,1
3ibX,"[13, 164]",208,2
K1bX,[26],300,1
IHbX,"[11, 62, 411, 483, 1693]",157,5
YfbX,[1354],300,1
HYbX,"[6, 133, 325]",300,3
zebX,"[3, 4]",243,2
0nbX,"[2, 43, 60, 76, 549]",300,5
flbX,"[0, 12, 195]",281,3
3WbX,"[11, 20, 22, 29, 32, 397]",300,6
UKbX,"[4, 14, 28]",182,3
rLbX,"[0, 1, 124, 317]",145,4
3VbX,"[0, 1, 822, 2950]",264,4
62bX,[418],132,1
gZbX,[0],300,1
8HbX,[6],300,1
nHbX,"[146, 158, 279, 439, 454]",176,5
K8bX,[97],212,1
XLbX,"[15, 18, 59, 178, 773, 805, 1661]",128,7
PdbX,"[3, 14, 324]",300,3
0jbX,"[0, 79]",242,2
rkbX,"[19, 55]",161,2
XZbX,"[11, 29, 368]",300,3
BUbX,"[2, 7, 297, 375, 742, 1142, 1660]",300,7
eJbX,"[231, 491]",255,2
m9bX,"[227, 474]",275,2
BbbX,"[5, 49, 919, 3736]",241,4
JnbX,"[3, 4, 6]",203,3
rrbX,"[10, 97, 243, 278]",163,4
rhbX,"[24, 74, 131, 1757, 2673]",166,5
XdbX,[8],300,1
L5bX,"[66, 332, 521]",135,3
3KbX,"[5, 2960]",123,2
rCbX,"[0, 1, 809, 822, 2188, 2496]",300,6
LLbX,[5],261,1
xVbX,"[0, 1]",300,2
FWbX,"[3, 4, 9, 28, 33, 38]",300,6
vCbX,"[315, 505]",263,2
XObX,[0],300,1
mxbX,[644],267,1
CvbX,"[418, 725, 1108]",300,3
XjbX,"[359, 970, 1471]",229,3
jJbX,"[0, 52, 70]",151,3
nbbX,"[0, 26, 130, 636, 808]",292,5
MDbX,"[11, 903]",190,2
inbX,"[0, 1, 1742, 1861]",125,4
LibX,"[9, 970]",199,2
5gbX,"[4, 9, 10, 37]",300,4
dcbX,"[2, 7, 413, 2159]",124,4
mDbX,"[11, 20, 29, 32, 221]",133,5
89bX,"[0, 1, 36, 132, 147]",300,5
VHbX,"[3, 6, 8]",300,3
MGbX,"[2, 30, 427]",300,3
aabX,"[709, 2455]",126,2
gvbX,"[2, 7, 26, 359, 593]",211,5
0MbX,"[0, 1, 5, 234, 358, 467, 678]",300,7
DybX,"[451, 717]",136,2
lobX,[89],300,1
hIbX,"[5, 618]",232,2
7vbX,"[5, 1033]",176,2
TNbX,[25],300,1
VjbX,[12],145,1
GMbX,"[461, 1325]",184,2
RpbX,"[158, 284, 937]",220,3
NNbX,[14],248,1
OzbX,[188],201,1
5PbX,[210],300,1
W1bX,[8],256,1
rQbX,"[11, 20, 22, 29, 32, 122, 1489]",128,7
BVbX,"[0, 63, 167]",227,3
mNbX,[61],222,1
bZbX,"[4, 10]",200,2
NJbX,"[5, 199, 326]",300,3
kIbX,[14],243,1
kqbX,[14],272,1
DVbX,"[3, 4, 13, 41, 54]",300,5
1tbX,"[66, 148, 253, 271]",300,4
GBbX,"[2, 7, 171, 979]",150,4
qvbX,"[2, 44, 46, 2197]",158,4
DEbX,[3],133,1
XmbX,"[2, 44, 46, 64, 113, 119, 155]",300,7
s4bX,[100],140,1
gtbX,"[0, 1, 36, 147]",123,4
AtbX,"[6, 1690]",247,2
KWbX,"[556, 2530]",228,2
EcbX,"[0, 27]",137,2
2mbX,"[0, 1, 42, 643]",300,4
1ebX,"[11, 388, 791, 1079, 1277, 1471]",265,6
CIbX,"[0, 1, 105, 488, 2123, 3240]",300,6
HKbX,"[11, 20, 22, 32, 211, 321, 334, 1045]",300,8
ygbX,"[3, 4, 6, 13]",176,4
RrbX,"[6, 201]",195,2
MzbX,[12],121,1
OVbX,[3],300,1
OMbX,"[11, 20, 22, 32, 250, 1725]",251,6
ORbX,[12],120,1
oQbX,"[0, 12, 237, 336]",145,4
HRbX,"[50, 65, 256, 927]",300,4
M0bX,"[2, 7, 48, 177, 460, 1632, 2059]",188,7
PGbX,"[0, 1, 5, 69, 144, 190, 378]",255,7
5ybX,"[0, 27]",206,2
4fbX,"[3, 4]",246,2
mjbX,"[11, 20, 22, 29, 32, 173, 1827]",242,7
0abX,"[0, 12]",170,2
KRbX,"[66, 343]",130,2
UrbX,[3],300,1
qobX,"[2, 522, 721]",201,3
0zbX,"[83, 262, 2953, 3230]",231,4
0TbX,"[0, 12, 79, 91]",182,4
1XbX,"[2, 30, 90, 2694]",162,4
7jbX,"[0, 1, 27]",214,3
n8bX,[0],137,1
yVbX,"[0, 27, 88]",300,3
86bX,"[64, 113, 119]",218,3
oFbX,"[0, 12]",218,2
2zbX,"[2, 7, 266]",288,3
b0bX,"[18, 87, 248]",173,3
VlbX,"[3, 4, 6]",171,3
I2bX,"[2, 7, 1429, 1774, 3478]",171,5
lFbX,[3],186,1
MRbX,[251],300,1
7EbX,"[9, 10, 34]",170,3
8ObX,"[0, 12]",215,2
7QbX,"[2, 7, 2229]",300,3
rzbX,"[21, 23, 24, 288, 1245]",189,5
OIbX,"[3, 6]",210,2
58bX,"[0, 79, 91, 918]",300,4
UMbX,[25],143,1
U7bX,[14],185,1
qZbX,"[0, 1, 5, 69, 144, 190, 1350]",147,7
RabX,"[0, 139]",300,2
BMbX,"[3, 4, 9, 10, 13, 28]",300,6
aQbX,"[2, 17, 19, 76, 281]",158,5
gAbX,[195],277,1
XNbX,[3],199,1
1IbX,"[0, 1, 157, 481]",190,4
WebX,"[0, 1, 27]",300,3
TIbX,"[5, 3323]",189,2
4AbX,"[3, 89, 324]",236,3
aNbX,"[6, 8, 558]",205,3
aPbX,"[0, 622]",140,2
BObX,"[15, 18, 67, 140]",300,4
mAbX,"[31, 40, 47, 57]",258,4
4FbX,"[11, 1107, 1189]",132,3
wkbX,"[15, 18, 170, 314]",186,4
P2bX,"[2, 45, 51, 56, 77, 137, 456, 2981]",155,8
g3bX,"[13, 54, 585]",300,3
tlbX,"[11, 100]",300,2
G3bX,[8],195,1
LobX,"[2, 17, 83, 778]",242,4
TtbX,"[24, 74, 131, 2962]",267,4
FnbX,[5],206,1
s3bX,"[27, 313]",154,2
70bX,"[514, 1443]",300,2
56bX,"[3, 6, 8]",300,3
tEbX,"[50, 65]",177,2
s6bX,"[15, 96, 363]",198,3
7NbX,"[5, 1064]",141,2
F0bX,"[2, 7, 171, 2075]",282,4
33bX,[3],300,1
SWbX,[271],300,1
73bX,"[0, 2, 26, 218, 2627]",141,5
6XbX,"[18, 59, 238, 274, 366, 797, 2543]",121,7
xIbX,[6],300,1
5lbX,"[17, 19, 55, 1197]",148,4
hebX,"[14, 214]",244,2
dlbX,"[3, 6]",225,2
aUbX,"[0, 1, 1564]",238,3
KLbX,"[0, 63]",220,2
fGbX,"[0, 139]",289,2
ribX,[0],206,1
XlbX,"[0, 1, 5, 69, 84, 169, 476, 1129, 1967]",149,9
MibX,"[6, 8]",226,2
wxbX,[49],300,1
O2bX,"[0, 1]",300,2
O8bX,[8],229,1
BvbX,"[0, 1]",129,2
DjbX,"[6, 8, 206, 650]",230,4
D0bX,"[0, 1, 63, 167]",300,4
47bX,"[0, 26, 130, 1554]",300,4
JlbX,"[0, 1697]",285,2
SQbX,"[15, 18, 59, 178, 1451]",221,5
SwbX,[1172],223,1
JMbX,"[92, 110, 369, 884]",300,4
w0bX,"[15, 238, 274, 366]",140,4
ARbX,"[269, 320]",136,2
yxbX,"[8, 13, 164, 175]",185,4
mubX,[25],159,1
JNbX,"[11, 20, 22, 29, 32, 692, 747]",300,7
50bX,"[2, 44, 46, 64, 113, 119]",155,6
g7bX,"[0, 1, 193, 841, 1146]",209,5
bYbX,"[5, 16, 136]",144,3
CJbX,"[0, 562]",300,2
FAbX,[0],178,1
JjbX,[61],240,1
1nbX,"[133, 630]",300,2
3abX,"[3, 4, 10, 13, 54]",138,5
N5bX,[6],127,1
kwbX,"[2, 7, 620, 1926]",221,4
IGbX,"[11, 22, 1576]",150,3
EKbX,[14],184,1
CWbX,[8],300,1
Z3bX,"[71, 152]",300,2
iPbX,"[60, 72, 98, 151]",285,4
ATbX,"[1, 5, 16, 826, 3168]",300,5
EfbX,"[26, 199, 326, 682, 1464]",300,5
D8bX,"[2, 7, 62, 90, 810]",203,5
vdbX,"[3, 6]",169,2
tkbX,"[0, 1, 36, 367]",274,4
24bX,[25],138,1
6fbX,"[0, 42]",246,2
8zbX,"[21, 23, 24, 1321]",300,4
DebX,"[100, 161, 356, 548, 567, 1221]",300,6
OObX,"[3, 4, 13, 31, 40, 41, 47]",282,7
2ibX,"[21, 23, 24, 73, 554, 712, 786]",300,7
06bX,[562],167,1
2fbX,"[133, 325]",182,2
dwbX,"[28, 33, 38]",256,3
QQbX,[14],273,1
pFbX,[14],256,1
8gbX,"[1, 105, 192, 331, 455, 488]",150,6
xmbX,[3448],237,1
2ZbX,"[6, 8]",300,2
XnbX,"[2, 75]",300,2
ETbX,"[18, 59, 238, 274, 366, 474]",300,6
mTbX,"[2, 7, 116, 469, 2486]",278,5
49bX,"[11, 29, 32, 692, 3484]",134,5
QkbX,"[4, 9, 37]",240,3
f9bX,[92],300,1
40bX,"[148, 253, 271]",300,3
tMbX,"[524, 691, 753, 955, 988, 1519]",297,6
J7bX,"[0, 1, 27]",300,3
LCbX,"[11, 511, 2450]",300,3
9nbX,[3],223,1
lNbX,[8],217,1
ICbX,[3],146,1
odbX,"[0, 1, 27]",300,3
KkbX,[8],300,1
1lbX,[43],146,1
O6bX,[3],267,1
4PbX,"[74, 187, 838]",265,3
VqbX,"[146, 158, 279, 439, 454]",300,5
ZIbX,[932],300,1
upbX,"[0, 1, 5, 744]",300,4
gkbX,"[1, 105, 192, 331, 455]",241,5
yzbX,"[0, 1, 5, 581]",170,4
25bX,[43],131,1
jKbX,[14],279,1
qVbX,"[0, 759]",140,2
yLbX,[12],157,1
DfbX,"[39, 121]",300,2
DIbX,"[414, 954]",300,2
vbbX,[1075],260,1
QzbX,[8],151,1
jQbX,"[5, 144, 190, 925, 1859]",253,5
apbX,"[0, 1, 124, 387, 1084]",189,5
gzbX,"[182, 392]",142,2
6CbX,[387],250,1
IvbX,"[15, 18, 87]",300,3
5ibX,"[246, 3764]",126,2
CKbX,"[0, 12]",235,2
zZbX,"[71, 238, 1640]",155,3
kdbX,"[2, 7]",120,2
AkbX,"[15, 18, 43, 59, 238]",300,5
LAbX,"[53, 58, 214]",157,3
fIbX,"[15, 96]",178,2
k8bX,"[11, 20]",270,2
cTbX,"[2, 465]",158,2
pSbX,"[26, 130, 435, 1568]",261,4
wwbX,"[8, 13, 89, 164, 175]",149,5
mVbX,"[11, 22]",300,2
vlbX,"[6, 8, 100]",145,3
MQbX,"[2, 7, 259, 620, 783, 804]",228,6
CQbX,"[15, 555, 3467]",146,3
H3bX,"[9, 10, 37]",178,3
kzbX,"[0, 12, 91]",300,3
jSbX,"[15, 18, 59, 178, 773, 805]",209,6
fTbX,"[11, 291]",134,2
SGbX,"[26, 130, 199, 259]",300,4
SsbX,"[375, 451, 717, 2319]",300,4
LrbX,[391],251,1
JYbX,"[50, 65]",300,2
RkbX,"[8, 834]",203,2
mkbX,"[5, 16]",185,2
c3bX,"[195, 939]",163,2
vxbX,[780],239,1
GObX,[180],183,1
U8bX,"[0, 12]",132,2
kFbX,"[2, 43, 76, 473, 547]",265,5
CqbX,"[49, 80, 127, 277, 787]",149,5
P7bX,[3],175,1
xRbX,[308],211,1
HxbX,"[0, 12]",210,2
KPbX,"[6, 206]",237,2
U1bX,"[0, 1, 234, 358, 467, 678]",300,6
85bX,"[3, 4, 10, 33]",300,4
bybX,[828],125,1
uabX,"[0, 12]",300,2
X0bX,"[1, 74, 131]",167,3
RWbX,"[4, 31, 40, 47]",123,4
GLbX,"[2, 7, 95, 116, 135, 2902]",229,6
uibX,"[0, 1, 27]",266,3
QEbX,"[2, 7, 116, 1012]",300,4
EAbX,[3],283,1
OTbX,"[3, 89]",300,2
DcbX,[175],300,1
RfbX,"[11, 1480, 2618]",272,3
7gbX,"[0, 245, 352, 1185]",150,4
KzbX,"[4, 13, 54, 168]",261,4
vXbX,"[3, 6, 13, 38]",278,4
tybX,"[0, 1, 105, 203, 467, 1358, 3187]",281,7
UnbX,"[43, 101]",269,2
7ubX,"[61, 74, 187]",210,3
RFbX,"[0, 106]",135,2
qqbX,"[17, 19, 272, 448]",300,4
xcbX,[3],300,1
DFbX,"[74, 187, 246, 838]",122,4
owbX,[175],152,1
anbX,"[2, 7, 75, 172, 235, 3027]",230,6
c7bX,"[3, 6]",300,2
yobX,"[2, 44, 46, 107, 114, 1162]",135,6
uqbX,"[0, 1, 36, 403]",300,4
gbbX,"[9, 10, 37]",169,3
OgbX,"[0, 27]",131,2
a0bX,"[53, 58]",123,2
cvbX,"[11, 20, 22, 29, 32, 120, 211, 321, 1672]",300,9
14bX,"[10, 188]",300,2
ySbX,"[0, 1, 5, 738, 809, 928]",127,6
2GbX,"[11, 20, 22, 321, 334, 569]",212,6
s9bX,"[2, 7, 17, 19, 104, 272, 1881]",300,7
HBbX,[578],227,1
Y3bX,"[3, 4, 13, 54]",300,4
i3bX,"[0, 1, 35, 134]",249,4
iwbX,"[68, 72, 98]",238,3
1DbX,"[348, 833]",295,2
zObX,"[2, 7, 48, 213]",300,4
TEbX,"[5, 264]",174,2
mUbX,"[15, 18, 87]",300,3
vTbX,[248],188,1
ApbX,"[2, 7, 17]",157,3
cmbX,"[2, 44, 46, 162]",132,4
wMbX,"[13, 28, 33]",278,3
WQbX,[13],251,1
BrbX,"[0, 63, 167]",300,3
rFbX,[14],124,1
igbX,"[0, 52, 70, 91]",300,4
sLbX,"[21, 23, 24]",181,3
afbX,"[68, 72, 98, 240]",126,4
5KbX,[14],207,1
lkbX,"[0, 12]",169,2
0VbX,"[11, 22, 29, 173, 477, 528]",176,6
lJbX,"[25, 2166]",152,2
iubX,"[2, 30]",136,2
fKbX,[5],222,1
D9bX,"[19, 48, 524, 753]",137,4
WfbX,"[31, 40, 47, 57, 117]",262,5
e3bX,"[0, 1, 69, 478, 3369]",160,5
OjbX,[14],277,1
zabX,"[0, 1, 153, 489, 776, 1026]",300,6
fYdw,[46],265,1
lXdw,[248],122,1
59dw,"[5, 2915]",289,2
0Gdw,"[401, 569, 2369]",300,3
Rsdw,"[0, 1, 5, 69, 84, 169, 476]",154,7
Tudw,"[72, 98, 452]",174,3
QYdw,[179],121,1
6Wdw,"[9, 37]",182,2
sTdw,"[2, 30]",300,2
Jvdw,[73],136,1
Padw,"[2, 7]",300,2
0sdw,"[4, 6, 154, 263]",147,4
Fqdw,"[49, 127]",300,2
8Kdw,"[0, 218, 1516]",300,3
tGdw,[3],300,1
Xqdw,"[0, 12]",163,2
4Ldw,"[5, 662]",188,2
UTdw,"[0, 1, 36, 142, 1985, 2983, 3054]",300,7
bpdw,"[0, 1, 36, 132]",300,4
dkdw,[6],235,1
h8dw,[61],300,1
yAdw,[944],216,1
GHdw,"[50, 3635]",300,2
esdw,[1020],224,1
Mkdw,"[15, 18, 170, 314, 514, 2882]",300,6
qUdw,"[2, 7, 48, 174, 213]",247,5
2Tdw,[8],157,1
Qhdw,"[1, 150, 204, 853, 2183]",270,5
kldw,"[2, 7, 165, 373, 1368]",280,5
SQdw,"[17, 19, 128]",167,3
w3dw,"[81, 108, 358, 510, 615]",300,5
c1dw,"[4, 9, 37]",300,3
ugdw,[182],149,1
4Qdw,"[0, 1]",272,2
8bdw,"[2, 17, 83, 778]",147,4
CAdw,[12],300,1
bDdw,"[0, 5, 2510]",300,3
oldw,"[3, 4]",273,2
3Xdw,"[4, 9, 37]",190,3
Skdw,"[0, 1, 42, 306]",300,4
aidw,"[4, 154]",183,2
MJdw,"[17, 129]",184,2
qVdw,"[6, 206]",300,2
p3dw,[12],169,1
46dw,"[2, 2421]",137,2
n7dw,"[39, 50, 121, 156, 202, 207, 233, 393]",300,8
Xwdw,[2],300,1
NIdw,"[3, 6]",177,2
58dw,"[4, 9, 10, 37, 1830]",201,5
Wedw,"[2, 45, 51, 56, 77, 212]",294,6
6idw,"[2217, 2314]",300,2
M3dw,"[333, 1938]",300,2
YVdw,"[39, 121, 156, 202, 233, 393]",300,6
8kdw,[12],262,1
Bydw,"[1, 19, 48, 177, 575, 1284, 1724, 2796]",300,8
4rdw,"[2, 19, 30, 166, 272]",300,5
jHdw,"[126, 1121, 1601]",264,3
C8dw,"[398, 482, 501]",300,3
i5dw,"[0, 1, 48, 183, 245, 258, 294, 926, 2795]",243,9
UJdw,"[2, 7, 17, 19]",144,4
Hydw,[8],300,1
oPdw,"[146, 158, 279]",286,3
r0dw,"[4, 28, 33, 38, 78]",276,5
8Ydw,"[46, 155, 162, 264, 377, 1585, 1925, 2265]",300,8
9Hdw,"[0, 1, 35, 85]",300,4
g1dw,"[0, 1, 35, 85, 134]",234,5
Lldw,"[2, 17, 19, 30, 55, 143, 345]",130,7
Kadw,"[11, 20, 22, 176, 211, 250, 1201]",300,7
aUdw,"[99, 1662]",125,2
evdw,"[60, 669]",176,2
7rdw,"[0, 1, 63, 335, 633]",300,5
lWdw,"[0, 1, 35, 85]",137,4
Ifdw,"[2, 76, 446, 473, 547]",136,5
eLdw,[12],137,1
oSdw,[61],264,1
g2dw,"[0, 1, 124, 287]",300,4
6Ydw,[726],167,1
bCdw,"[0, 82, 103, 118]",300,4
1Fdw,"[8, 1652]",219,2
iGdw,[1534],200,1
XIdw,"[2, 7, 197, 316, 756]",289,5
SJdw,"[1, 25, 85, 245, 294]",300,5
LLdw,"[21, 23, 24, 74, 131]",300,5
ttdw,"[21, 23, 24, 73]",257,4
UCdw,"[88, 1020]",225,2
0Sdw,"[8, 206, 650]",291,3
